 Q_min Q_max   m1    m2    m3    a1    e1    e2    i2    Om2   q0    +q   q++   NS
  8.00  8.00 1.90  0.10 10.00  1.00  0.99  0.50 180.0   0.0  1.00  1.00  0.10  200 quiet
  7.80  8.00 1.90  0.10 10.00  1.00  0.99  0.50 180.0  18.0  1.00  1.00  0.10  200 quiet
  8.00  8.00 1.90  0.10 10.00  1.00  0.99  0.50 180.0  36.0  1.00  1.00  0.10  200 quiet
  7.60  7.60 1.90  0.10 10.00  1.00  0.99  0.50 180.0  54.0  1.00  1.00  0.10  200 quiet
  7.50  7.50 1.90  0.10 10.00  1.00  0.99  0.50 180.0  72.0  1.00  1.00  0.10  200 quiet
  7.00  7.40 1.90  0.10 10.00  1.00  0.99  0.50 180.0  90.0  1.00  1.00  0.10  200 quiet
  7.40  7.40 1.90  0.10 10.00  1.00  0.99  0.50 180.0 108.0  1.00  1.00  0.10  200 quiet
  7.70  8.00 1.90  0.10 10.00  1.00  0.99  0.50 180.0 126.0  1.00  1.00  0.10  200 quiet
  8.50  8.50 1.90  0.10 10.00  1.00  0.99  0.50 180.0 144.0  1.00  1.00  0.10  200 quiet
  8.50  8.70 1.90  0.10 10.00  1.00  0.99  0.50 180.0 162.0  1.00  1.00  0.10  200 quiet
  8.80  9.00 1.90  0.10 10.00  1.00  0.99  0.50 180.0 180.0  1.00  1.00  0.10  200 quiet
 Q_min Q_max   m1    m2    m3    a1    e1    e2    i2    Om2   q0    +q   q++   NS
  8.00  8.00 1.90  0.10 10.00  1.00  0.99  0.50 143.0   0.0  1.00  1.00  0.10  200 quiet
  8.00  8.00 1.90  0.10 10.00  1.00  0.99  0.50 143.0  18.0  1.00  1.00  0.10  200 quiet
  7.80  7.80 1.90  0.10 10.00  1.00  0.99  0.50 143.0  36.0  1.00  1.00  0.10  200 quiet
  7.10  7.80 1.90  0.10 10.00  1.00  0.99  0.50 143.0  54.0  1.00  1.00  0.10  200 quiet
  7.50  7.50 1.90  0.10 10.00  1.00  0.99  0.50 143.0  72.0  1.00  1.00  0.10  200 quiet
  7.30  7.60 1.90  0.10 10.00  1.00  0.99  0.50 143.0  90.0  1.00  1.00  0.10  200 quiet
  7.30  7.30 1.90  0.10 10.00  1.00  0.99  0.50 143.0 108.0  1.00  1.00  0.10  200 quiet
  7.60  7.60 1.90  0.10 10.00  1.00  0.99  0.50 143.0 126.0  1.00  1.00  0.10  200 quiet
  8.20  8.40 1.90  0.10 10.00  1.00  0.99  0.50 143.0 144.0  1.00  1.00  0.10  200 quiet
  8.70  8.70 1.90  0.10 10.00  1.00  0.99  0.50 143.0 162.0  1.00  1.00  0.10  200 quiet
  8.80  9.00 1.90  0.10 10.00  1.00  0.99  0.50 143.0 180.0  1.00  1.00  0.10  200 quiet
 Q_min Q_max   m1    m2    m3    a1    e1    e2    i2    Om2   q0    +q   q++   NS
  8.00  8.20 1.90  0.10 10.00  1.00  0.99  0.50 127.0   0.0  1.00  1.00  0.10  200 quiet
  8.10  8.10 1.90  0.10 10.00  1.00  0.99  0.50 127.0  18.0  1.00  1.00  0.10  200 quiet
  7.80  7.80 1.90  0.10 10.00  1.00  0.99  0.50 127.0  36.0  1.00  1.00  0.10  200 quiet
  7.40  7.70 1.90  0.10 10.00  1.00  0.99  0.50 127.0  54.0  1.00  1.00  0.10  200 quiet
  6.80  7.20 1.90  0.10 10.00  1.00  0.99  0.50 127.0  72.0  1.00  1.00  0.10  200 quiet
