 Q_min Q_max   m1    m2    m3    a1    e1    e2    i2    Om2   q0    +q   q++   NS
  7.00  7.00 1.00  1.00 10.00  1.00  0.75  0.50 180.0   0.0  1.00  1.00  0.10  200 quiet
  6.40  7.00 1.00  1.00 10.00  1.00  0.75  0.50 180.0  18.0  1.00  1.00  0.10  200 quiet
  6.60  6.60 1.00  1.00 10.00  1.00  0.75  0.50 180.0  36.0  1.00  1.00  0.10  200 quiet
  6.50  6.50 1.00  1.00 10.00  1.00  0.75  0.50 180.0  54.0  1.00  1.00  0.10  200 quiet
  6.10  6.10 1.00  1.00 10.00  1.00  0.75  0.50 180.0  72.0  1.00  1.00  0.10  200 quiet
  5.80  5.80 1.00  1.00 10.00  1.00  0.75  0.50 180.0  90.0  1.00  1.00  0.10  200 quiet
  6.10  6.10 1.00  1.00 10.00  1.00  0.75  0.50 180.0 108.0  1.00  1.00  0.10  200 quiet
  6.10  6.60 1.00  1.00 10.00  1.00  0.75  0.50 180.0 126.0  1.00  1.00  0.10  200 quiet
  6.80  6.80 1.00  1.00 10.00  1.00  0.75  0.50 180.0 144.0  1.00  1.00  0.10  200 quiet
  6.40  7.00 1.00  1.00 10.00  1.00  0.75  0.50 180.0 162.0  1.00  1.00  0.10  200 quiet
  7.10  7.10 1.00  1.00 10.00  1.00  0.75  0.50 180.0 180.0  1.00  1.00  0.10  200 quiet
 Q_min Q_max   m1    m2    m3    a1    e1    e2    i2    Om2   q0    +q   q++   NS
  7.40  7.40 1.00  1.00 10.00  1.00  0.75  0.50 143.0   0.0  1.00  1.00  0.10  200 quiet
  7.20  7.20 1.00  1.00 10.00  1.00  0.75  0.50 143.0  18.0  1.00  1.00  0.10  200 quiet
  7.00  7.00 1.00  1.00 10.00  1.00  0.75  0.50 143.0  36.0  1.00  1.00  0.10  200 quiet
  6.40  6.40 1.00  1.00 10.00  1.00  0.75  0.50 143.0  54.0  1.00  1.00  0.10  200 quiet
  6.30  6.30 1.00  1.00 10.00  1.00  0.75  0.50 143.0  72.0  1.00  1.00  0.10  200 quiet
  5.70  6.00 1.00  1.00 10.00  1.00  0.75  0.50 143.0  90.0  1.00  1.00  0.10  200 quiet
  6.20  6.40 1.00  1.00 10.00  1.00  0.75  0.50 143.0 108.0  1.00  1.00  0.10  200 quiet
