 Q_min Q_max   m1    m2    m3    a1    e1    e2    i2    Om2   q0    +q   q++   NS
  4.90  8.30 1.50  0.50  0.10  1.00  0.50  0.50 102.0 108.0  1.00  1.00  0.10  200 quiet
  6.30  6.30 1.50  0.50  0.10  1.00  0.50  0.50 102.0 126.0  1.00  1.00  0.10  200 quiet
  4.30  4.50 1.50  0.50  0.10  1.00  0.50  0.50 102.0 144.0  1.00  1.00  0.10  200 quiet
  4.40  4.40 1.50  0.50  0.10  1.00  0.50  0.50 102.0 162.0  1.00  1.00  0.10  200 quiet
  4.30  4.70 1.50  0.50  0.10  1.00  0.50  0.50 102.0 180.0  1.00  1.00  0.10  200 quiet
 Q_min Q_max   m1    m2    m3    a1    e1    e2    i2    Om2   q0    +q   q++   NS
  3.30  3.50 1.50  0.50  0.10  1.00  0.50  0.50  90.0   0.0  1.00  1.00  0.10  200 quiet
  3.40  3.70 1.50  0.50  0.10  1.00  0.50  0.50  90.0  18.0  1.00  1.00  0.10  200 quiet
  3.30  3.30 1.50  0.50  0.10  1.00  0.50  0.50  90.0  36.0  1.00  1.00  0.10  200 quiet
  5.80  6.90 1.50  0.50  0.10  1.00  0.50  0.50  90.0  54.0  1.00  1.00  0.10  200 quiet
  4.40  7.90 1.50  0.50  0.10  1.00  0.50  0.50  90.0  72.0  1.00  1.00  0.10  200 quiet
  4.20  8.30 1.50  0.50  0.10  1.00  0.50  0.50  90.0  90.0  1.00  1.00  0.10  200 quiet
  7.80  7.80 1.50  0.50  0.10  1.00  0.50  0.50  90.0 108.0  1.00  1.00  0.10  200 quiet
  6.50  6.50 1.50  0.50  0.10  1.00  0.50  0.50  90.0 126.0  1.00  1.00  0.10  200 quiet
  3.90  3.90 1.50  0.50  0.10  1.00  0.50  0.50  90.0 144.0  1.00  1.00  0.10  200 quiet
  4.40  4.40 1.50  0.50  0.10  1.00  0.50  0.50  90.0 162.0  1.00  1.00  0.10  200 quiet
  4.10  4.10 1.50  0.50  0.10  1.00  0.50  0.50  90.0 180.0  1.00  1.00  0.10  200 quiet
 Q_min Q_max   m1    m2    m3    a1    e1    e2    i2    Om2   q0    +q   q++   NS
  3.60  3.80 1.50  0.50  0.10  1.00  0.50  0.50  78.0   0.0  1.00  1.00  0.10  200 quiet
  3.40  3.60 1.50  0.50  0.10  1.00  0.50  0.50  78.0  18.0  1.00  1.00  0.10  200 quiet
  3.00  3.50 1.50  0.50  0.10  1.00  0.50  0.50  78.0  36.0  1.00  1.00  0.10  200 quiet
  5.50  5.50 1.50  0.50  0.10  1.00  0.50  0.50  78.0  54.0  1.00  1.00  0.10  200 quiet
  6.40  6.60 1.50  0.50  0.10  1.00  0.50  0.50  78.0  72.0  1.00  1.00  0.10  200 quiet
  7.00  7.00 1.50  0.50  0.10  1.00  0.50  0.50  78.0  90.0  1.00  1.00  0.10  200 quiet
  6.10  6.50 1.50  0.50  0.10  1.00  0.50  0.50  78.0 108.0  1.00  1.00  0.10  200 quiet
  5.20  5.20 1.50  0.50  0.10  1.00  0.50  0.50  78.0 126.0  1.00  1.00  0.10  200 quiet
  4.00  4.00 1.50  0.50  0.10  1.00  0.50  0.50  78.0 144.0  1.00  1.00  0.10  200 quiet
  4.30  4.30 1.50  0.50  0.10  1.00  0.50  0.50  78.0 162.0  1.00  1.00  0.10  200 quiet
  4.20  4.50 1.50  0.50  0.10  1.00  0.50  0.50  78.0 180.0  1.00  1.00  0.10  200 quiet
 Q_min Q_max   m1    m2    m3    a1    e1    e2    i2    Om2   q0    +q   q++   NS
  3.20  4.00 1.50  0.50  0.10  1.00  0.50  0.50  66.0   0.0  1.00  1.00  0.10  200 quiet
  3.60  3.60 1.50  0.50  0.10  1.00  0.50  0.50  66.0  18.0  1.00  1.00  0.10  200 quiet
  3.60  3.60 1.50  0.50  0.10  1.00  0.50  0.50  66.0  36.0  1.00  1.00  0.10  200 quiet
  4.10  4.90 1.50  0.50  0.10  1.00  0.50  0.50  66.0  54.0  1.00  1.00  0.10  200 quiet
  4.70  5.30 1.50  0.50  0.10  1.00  0.50  0.50  66.0  72.0  1.00  1.00  0.10  200 quiet
  5.30  5.30 1.50  0.50  0.10  1.00  0.50  0.50  66.0  90.0  1.00  1.00  0.10  200 quiet
  4.70  5.10 1.50  0.50  0.10  1.00  0.50  0.50  66.0 108.0  1.00  1.00  0.10  200 quiet
  4.10  4.70 1.50  0.50  0.10  1.00  0.50  0.50  66.0 126.0  1.00  1.00  0.10  200 quiet
  3.80  4.40 1.50  0.50  0.10  1.00  0.50  0.50  66.0 144.0  1.00  1.00  0.10  200 quiet
  4.20  4.20 1.50  0.50  0.10  1.00  0.50  0.50  66.0 162.0  1.00  1.00  0.10  200 quiet
  4.30  4.30 1.50  0.50  0.10  1.00  0.50  0.50  66.0 180.0  1.00  1.00  0.10  200 quiet
 Q_min Q_max   m1    m2    m3    a1    e1    e2    i2    Om2   q0    +q   q++   NS
  3.70  3.90 1.50  0.50  0.10  1.00  0.50  0.50  53.0   0.0  1.00  1.00  0.10  200 quiet
  3.60  3.80 1.50  0.50  0.10  1.00  0.50  0.50  53.0  18.0  1.00  1.00  0.10  200 quiet
  3.60  3.80 1.50  0.50  0.10  1.00  0.50  0.50  53.0  36.0  1.00  1.00  0.10  200 quiet
  3.60  3.60 1.50  0.50  0.10  1.00  0.50  0.50  53.0  54.0  1.00  1.00  0.10  200 quiet
  2.90  4.10 1.50  0.50  0.10  1.00  0.50  0.50  53.0  72.0  1.00  1.00  0.10  200 quiet
  4.20  4.20 1.50  0.50  0.10  1.00  0.50  0.50  53.0  90.0  1.00  1.00  0.10  200 quiet
  4.00  4.00 1.50  0.50  0.10  1.00  0.50  0.50  53.0 108.0  1.00  1.00  0.10  200 quiet
  4.40  4.40 1.50  0.50  0.10  1.00  0.50  0.50  53.0 126.0  1.00  1.00  0.10  200 quiet
  4.50  4.50 1.50  0.50  0.10  1.00  0.50  0.50  53.0 144.0  1.00  1.00  0.10  200 quiet
  4.10  5.20 1.50  0.50  0.10  1.00  0.50  0.50  53.0 162.0  1.00  1.00  0.10  200 quiet
  3.90  4.90 1.50  0.50  0.10  1.00  0.50  0.50  53.0 180.0  1.00  1.00  0.10  200 quiet
 Q_min Q_max   m1    m2    m3    a1    e1    e2    i2    Om2   q0    +q   q++   NS
  3.80  3.80 1.50  0.50  0.10  1.00  0.50  0.50  37.0   0.0  1.00  1.00  0.10  200 quiet
  3.60  3.80 1.50  0.50  0.10  1.00  0.50  0.50  37.0  18.0  1.00  1.00  0.10  200 quiet
  3.80  3.80 1.50  0.50  0.10  1.00  0.50  0.50  37.0  36.0  1.00  1.00  0.10  200 quiet
  3.70  4.00 1.50  0.50  0.10  1.00  0.50  0.50  37.0  54.0  1.00  1.00  0.10  200 quiet
  4.30  4.50 1.50  0.50  0.10  1.00  0.50  0.50  37.0  72.0  1.00  1.00  0.10  200 quiet
  4.40  4.70 1.50  0.50  0.10  1.00  0.50  0.50  37.0  90.0  1.00  1.00  0.10  200 quiet
  5.20  5.20 1.50  0.50  0.10  1.00  0.50  0.50  37.0 108.0  1.00  1.00  0.10  200 quiet
  4.40  4.40 1.50  0.50  0.10  1.00  0.50  0.50  37.0 126.0  1.00  1.00  0.10  200 quiet
  4.70  5.20 1.50  0.50  0.10  1.00  0.50  0.50  37.0 144.0  1.00  1.00  0.10  200 quiet
  4.80  4.80 1.50  0.50  0.10  1.00  0.50  0.50  37.0 162.0  1.00  1.00  0.10  200 quiet
  3.80  4.80 1.50  0.50  0.10  1.00  0.50  0.50  37.0 180.0  1.00  1.00  0.10  200 quiet
 Q_min Q_max   m1    m2    m3    a1    e1    e2    i2    Om2   q0    +q   q++   NS
  3.50  3.80 1.50  0.50  0.10  1.00  0.50  0.50   0.0   0.0  1.00  1.00  0.10  200 quiet
  3.60  3.60 1.50  0.50  0.10  1.00  0.50  0.50   0.0  18.0  1.00  1.00  0.10  200 quiet
  3.80  3.80 1.50  0.50  0.10  1.00  0.50  0.50   0.0  36.0  1.00  1.00  0.10  200 quiet
  4.10  4.10 1.50  0.50  0.10  1.00  0.50  0.50   0.0  54.0  1.00  1.00  0.10  200 quiet
  4.10  4.30 1.50  0.50  0.10  1.00  0.50  0.50   0.0  72.0  1.00  1.00  0.10  200 quiet
  4.40  4.40 1.50  0.50  0.10  1.00  0.50  0.50   0.0  90.0  1.00  1.00  0.10  200 quiet
  4.50  4.50 1.50  0.50  0.10  1.00  0.50  0.50   0.0 108.0  1.00  1.00  0.10  200 quiet
  4.70  4.70 1.50  0.50  0.10  1.00  0.50  0.50   0.0 126.0  1.00  1.00  0.10  200 quiet
  4.70  4.70 1.50  0.50  0.10  1.00  0.50  0.50   0.0 144.0  1.00  1.00  0.10  200 quiet
  4.80  4.80 1.50  0.50  0.10  1.00  0.50  0.50   0.0 162.0  1.00  1.00  0.10  200 quiet
  4.90  4.90 1.50  0.50  0.10  1.00  0.50  0.50   0.0 180.0  1.00  1.00  0.10  200 quiet
