 Q_min Q_max   m1    m2    m3    a1    e1    e2    i2    Om2   q0    +q   q++   NS
  4.00  4.00 1.90  0.10 10.00  1.00  0.00  0.50 180.0   0.0  1.00  1.00  0.10  200 quiet
  4.10  4.10 1.90  0.10 10.00  1.00  0.00  0.50 180.0  18.0  1.00  1.00  0.10  200 quiet
  4.30  4.30 1.90  0.10 10.00  1.00  0.00  0.50 180.0  36.0  1.00  1.00  0.10  200 quiet
  4.40  4.40 1.90  0.10 10.00  1.00  0.00  0.50 180.0  54.0  1.00  1.00  0.10  200 quiet
  4.40  4.40 1.90  0.10 10.00  1.00  0.00  0.50 180.0  72.0  1.00  1.00  0.10  200 quiet
  4.50  4.70 1.90  0.10 10.00  1.00  0.00  0.50 180.0  90.0  1.00  1.00  0.10  200 quiet
  4.40  4.40 1.90  0.10 10.00  1.00  0.00  0.50 180.0 108.0  1.00  1.00  0.10  200 quiet
  4.00  4.20 1.90  0.10 10.00  1.00  0.00  0.50 180.0 126.0  1.00  1.00  0.10  200 quiet
  3.70  3.70 1.90  0.10 10.00  1.00  0.00  0.50 180.0 144.0  1.00  1.00  0.10  200 quiet
  3.60  3.60 1.90  0.10 10.00  1.00  0.00  0.50 180.0 162.0  1.00  1.00  0.10  200 quiet
  3.20  3.50 1.90  0.10 10.00  1.00  0.00  0.50 180.0 180.0  1.00  1.00  0.10  200 quiet
 Q_min Q_max   m1    m2    m3    a1    e1    e2    i2    Om2   q0    +q   q++   NS
  4.80  5.30 1.90  0.10 10.00  1.00  0.00  0.50 143.0   0.0  1.00  1.00  0.10  200 quiet
  4.90  5.40 1.90  0.10 10.00  1.00  0.00  0.50 143.0  18.0  1.00  1.00  0.10  200 quiet
  5.10  5.50 1.90  0.10 10.00  1.00  0.00  0.50 143.0  36.0  1.00  1.00  0.10  200 quiet
  5.50  5.70 1.90  0.10 10.00  1.00  0.00  0.50 143.0  54.0  1.00  1.00  0.10  200 quiet
  5.60  6.00 1.90  0.10 10.00  1.00  0.00  0.50 143.0  72.0  1.00  1.00  0.10  200 quiet
  5.60  5.80 1.90  0.10 10.00  1.00  0.00  0.50 143.0  90.0  1.00  1.00  0.10  200 quiet
  5.80  5.80 1.90  0.10 10.00  1.00  0.00  0.50 143.0 108.0  1.00  1.00  0.10  200 quiet
  5.20  5.90 1.90  0.10 10.00  1.00  0.00  0.50 143.0 126.0  1.00  1.00  0.10  200 quiet
  5.10  5.80 1.90  0.10 10.00  1.00  0.00  0.50 143.0 144.0  1.00  1.00  0.10  200 quiet
  5.00  5.50 1.90  0.10 10.00  1.00  0.00  0.50 143.0 162.0  1.00  1.00  0.10  200 quiet
  4.90  5.40 1.90  0.10 10.00  1.00  0.00  0.50 143.0 180.0  1.00  1.00  0.10  200 quiet
 Q_min Q_max   m1    m2    m3    a1    e1    e2    i2    Om2   q0    +q   q++   NS
  6.90  7.40 1.90  0.10 10.00  1.00  0.00  0.50 127.0   0.0  1.00  1.00  0.10  200 quiet
  6.90  7.30 1.90  0.10 10.00  1.00  0.00  0.50 127.0  18.0  1.00  1.00  0.10  200 quiet
  7.10  7.40 1.90  0.10 10.00  1.00  0.00  0.50 127.0  36.0  1.00  1.00  0.10  200 quiet
  7.10  7.40 1.90  0.10 10.00  1.00  0.00  0.50 127.0  54.0  1.00  1.00  0.10  200 quiet
  7.50  7.80 1.90  0.10 10.00  1.00  0.00  0.50 127.0  72.0  1.00  1.00  0.10  200 quiet
  7.70  7.70 1.90  0.10 10.00  1.00  0.00  0.50 127.0  90.0  1.00  1.00  0.10  200 quiet
  7.30  7.60 1.90  0.10 10.00  1.00  0.00  0.50 127.0 108.0  1.00  1.00  0.10  200 quiet
  7.50  7.50 1.90  0.10 10.00  1.00  0.00  0.50 127.0 126.0  1.00  1.00  0.10  200 quiet
  7.40  7.40 1.90  0.10 10.00  1.00  0.00  0.50 127.0 144.0  1.00  1.00  0.10  200 quiet
  7.10  7.40 1.90  0.10 10.00  1.00  0.00  0.50 127.0 162.0  1.00  1.00  0.10  200 quiet
  6.30  7.50 1.90  0.10 10.00  1.00  0.00  0.50 127.0 180.0  1.00  1.00  0.10  200 quiet
 Q_min Q_max   m1    m2    m3    a1    e1    e2    i2    Om2   q0    +q   q++   NS
  6.30  7.70 1.90  0.10 10.00  1.00  0.00  0.50 114.0   0.0  1.00  1.00  0.10  200 quiet
  7.50  7.50 1.90  0.10 10.00  1.00  0.00  0.50 114.0  18.0  1.00  1.00  0.10  200 quiet
  7.40  7.60 1.90  0.10 10.00  1.00  0.00  0.50 114.0  36.0  1.00  1.00  0.10  200 quiet
  7.40  7.80 1.90  0.10 10.00  1.00  0.00  0.50 114.0  54.0  1.00  1.00  0.10  200 quiet
  7.70  7.70 1.90  0.10 10.00  1.00  0.00  0.50 114.0  72.0  1.00  1.00  0.10  200 quiet
