 Q_min Q_max   m1    m2    m3    a1    e1    e2    i2    Om2   q0    +q   q++   NS
  2.60  2.60 1.00  1.00  0.10  1.00  0.50  0.50 180.0   0.0  1.00  1.00  0.10  200 quiet
  2.60  3.70 1.00  1.00  0.10  1.00  0.50  0.50 180.0  18.0  1.00  1.00  0.10  200 quiet
  2.70  2.70 1.00  1.00  0.10  1.00  0.50  0.50 180.0  36.0  1.00  1.00  0.10  200 quiet
  2.70  2.70 1.00  1.00  0.10  1.00  0.50  0.50 180.0  54.0  1.00  1.00  0.10  200 quiet
  2.50  2.80 1.00  1.00  0.10  1.00  0.50  0.50 180.0  72.0  1.00  1.00  0.10  200 quiet
  2.50  3.60 1.00  1.00  0.10  1.00  0.50  0.50 180.0  90.0  1.00  1.00  0.10  200 quiet
  2.70  2.70 1.00  1.00  0.10  1.00  0.50  0.50 180.0 108.0  1.00  1.00  0.10  200 quiet
  2.80  2.80 1.00  1.00  0.10  1.00  0.50  0.50 180.0 126.0  1.00  1.00  0.10  200 quiet
  2.70  3.70 1.00  1.00  0.10  1.00  0.50  0.50 180.0 144.0  1.00  1.00  0.10  200 quiet
  2.50  2.50 1.00  1.00  0.10  1.00  0.50  0.50 180.0 162.0  1.00  1.00  0.10  200 quiet
  2.60  2.60 1.00  1.00  0.10  1.00  0.50  0.50 180.0 180.0  1.00  1.00  0.10  200 quiet
 Q_min Q_max   m1    m2    m3    a1    e1    e2    i2    Om2   q0    +q   q++   NS
  3.20  3.90 1.00  1.00  0.10  1.00  0.50  0.50 143.0   0.0  1.00  1.00  0.10  200 quiet
  3.70  4.00 1.00  1.00  0.10  1.00  0.50  0.50 143.0  18.0  1.00  1.00  0.10  200 quiet
  3.50  4.00 1.00  1.00  0.10  1.00  0.50  0.50 143.0  36.0  1.00  1.00  0.10  200 quiet
  3.80  3.80 1.00  1.00  0.10  1.00  0.50  0.50 143.0  54.0  1.00  1.00  0.10  200 quiet
  3.90  3.90 1.00  1.00  0.10  1.00  0.50  0.50 143.0  72.0  1.00  1.00  0.10  200 quiet
  3.90  3.90 1.00  1.00  0.10  1.00  0.50  0.50 143.0  90.0  1.00  1.00  0.10  200 quiet
  3.80  3.80 1.00  1.00  0.10  1.00  0.50  0.50 143.0 108.0  1.00  1.00  0.10  200 quiet
  3.70  3.90 1.00  1.00  0.10  1.00  0.50  0.50 143.0 126.0  1.00  1.00  0.10  200 quiet
  3.50  3.80 1.00  1.00  0.10  1.00  0.50  0.50 143.0 144.0  1.00  1.00  0.10  200 quiet
  4.00  4.00 1.00  1.00  0.10  1.00  0.50  0.50 143.0 162.0  1.00  1.00  0.10  200 quiet
  3.90  3.90 1.00  1.00  0.10  1.00  0.50  0.50 143.0 180.0  1.00  1.00  0.10  200 quiet
 Q_min Q_max   m1    m2    m3    a1    e1    e2    i2    Om2   q0    +q   q++   NS
  3.60  4.00 1.00  1.00  0.10  1.00  0.50  0.50 127.0   0.0  1.00  1.00  0.10  200 quiet
  3.80  4.00 1.00  1.00  0.10  1.00  0.50  0.50 127.0  18.0  1.00  1.00  0.10  200 quiet
  3.90  3.90 1.00  1.00  0.10  1.00  0.50  0.50 127.0  36.0  1.00  1.00  0.10  200 quiet
  3.90  3.90 1.00  1.00  0.10  1.00  0.50  0.50 127.0  54.0  1.00  1.00  0.10  200 quiet
  3.70  3.90 1.00  1.00  0.10  1.00  0.50  0.50 127.0  72.0  1.00  1.00  0.10  200 quiet
  3.90  3.90 1.00  1.00  0.10  1.00  0.50  0.50 127.0  90.0  1.00  1.00  0.10  200 quiet
  3.80  3.80 1.00  1.00  0.10  1.00  0.50  0.50 127.0 108.0  1.00  1.00  0.10  200 quiet
  3.80  3.80 1.00  1.00  0.10  1.00  0.50  0.50 127.0 126.0  1.00  1.00  0.10  200 quiet
  3.90  3.90 1.00  1.00  0.10  1.00  0.50  0.50 127.0 144.0  1.00  1.00  0.10  200 quiet
  4.00  4.00 1.00  1.00  0.10  1.00  0.50  0.50 127.0 162.0  1.00  1.00  0.10  200 quiet
  4.00  4.00 1.00  1.00  0.10  1.00  0.50  0.50 127.0 180.0  1.00  1.00  0.10  200 quiet
 Q_min Q_max   m1    m2    m3    a1    e1    e2    i2    Om2   q0    +q   q++   NS
  4.10  4.10 1.00  1.00  0.10  1.00  0.50  0.50 114.0   0.0  1.00  1.00  0.10  200 quiet
  3.70  3.90 1.00  1.00  0.10  1.00  0.50  0.50 114.0  18.0  1.00  1.00  0.10  200 quiet
  3.70  3.90 1.00  1.00  0.10  1.00  0.50  0.50 114.0  36.0  1.00  1.00  0.10  200 quiet
  3.90  3.90 1.00  1.00  0.10  1.00  0.50  0.50 114.0  54.0  1.00  1.00  0.10  200 quiet
  3.60  3.80 1.00  1.00  0.10  1.00  0.50  0.50 114.0  72.0  1.00  1.00  0.10  200 quiet
  3.60  3.80 1.00  1.00  0.10  1.00  0.50  0.50 114.0  90.0  1.00  1.00  0.10  200 quiet
  3.90  3.90 1.00  1.00  0.10  1.00  0.50  0.50 114.0 108.0  1.00  1.00  0.10  200 quiet
  3.60  4.40 1.00  1.00  0.10  1.00  0.50  0.50 114.0 126.0  1.00  1.00  0.10  200 quiet
  3.90  3.90 1.00  1.00  0.10  1.00  0.50  0.50 114.0 144.0  1.00  1.00  0.10  200 quiet
  3.70  3.90 1.00  1.00  0.10  1.00  0.50  0.50 114.0 162.0  1.00  1.00  0.10  200 quiet
  4.00  4.00 1.00  1.00  0.10  1.00  0.50  0.50 114.0 180.0  1.00  1.00  0.10  200 quiet
 Q_min Q_max   m1    m2    m3    a1    e1    e2    i2    Om2   q0    +q   q++   NS
  4.00  4.00 1.00  1.00  0.10  1.00  0.50  0.50 102.0   0.0  1.00  1.00  0.10  200 quiet
  4.10  4.10 1.00  1.00  0.10  1.00  0.50  0.50 102.0  18.0  1.00  1.00  0.10  200 quiet
  3.70  3.70 1.00  1.00  0.10  1.00  0.50  0.50 102.0  36.0  1.00  1.00  0.10  200 quiet
  3.90  3.90 1.00  1.00  0.10  1.00  0.50  0.50 102.0  54.0  1.00  1.00  0.10  200 quiet
  3.80  4.00 1.00  1.00  0.10  1.00  0.50  0.50 102.0  72.0  1.00  1.00  0.10  200 quiet
  3.70  3.90 1.00  1.00  0.10  1.00  0.50  0.50 102.0  90.0  1.00  1.00  0.10  200 quiet
  3.80  3.80 1.00  1.00  0.10  1.00  0.50  0.50 102.0 108.0  1.00  1.00  0.10  200 quiet
  4.00  4.00 1.00  1.00  0.10  1.00  0.50  0.50 102.0 126.0  1.00  1.00  0.10  200 quiet
  3.60  4.00 1.00  1.00  0.10  1.00  0.50  0.50 102.0 144.0  1.00  1.00  0.10  200 quiet
  4.00  4.00 1.00  1.00  0.10  1.00  0.50  0.50 102.0 162.0  1.00  1.00  0.10  200 quiet
  4.00  4.00 1.00  1.00  0.10  1.00  0.50  0.50 102.0 180.0  1.00  1.00  0.10  200 quiet
 Q_min Q_max   m1    m2    m3    a1    e1    e2    i2    Om2   q0    +q   q++   NS
  4.00  4.00 1.00  1.00  0.10  1.00  0.50  0.50  90.0   0.0  1.00  1.00  0.10  200 quiet
  4.00  4.00 1.00  1.00  0.10  1.00  0.50  0.50  90.0  18.0  1.00  1.00  0.10  200 quiet
  3.90  3.90 1.00  1.00  0.10  1.00  0.50  0.50  90.0  36.0  1.00  1.00  0.10  200 quiet
  3.80  3.80 1.00  1.00  0.10  1.00  0.50  0.50  90.0  54.0  1.00  1.00  0.10  200 quiet
  3.80  3.80 1.00  1.00  0.10  1.00  0.50  0.50  90.0  72.0  1.00  1.00  0.10  200 quiet
  3.80  3.80 1.00  1.00  0.10  1.00  0.50  0.50  90.0  90.0  1.00  1.00  0.10  200 quiet
  3.80  3.80 1.00  1.00  0.10  1.00  0.50  0.50  90.0 108.0  1.00  1.00  0.10  200 quiet
  3.60  3.90 1.00  1.00  0.10  1.00  0.50  0.50  90.0 126.0  1.00  1.00  0.10  200 quiet
  3.90  3.90 1.00  1.00  0.10  1.00  0.50  0.50  90.0 144.0  1.00  1.00  0.10  200 quiet
  3.90  3.90 1.00  1.00  0.10  1.00  0.50  0.50  90.0 162.0  1.00  1.00  0.10  200 quiet
  4.00  4.00 1.00  1.00  0.10  1.00  0.50  0.50  90.0 180.0  1.00  1.00  0.10  200 quiet
 Q_min Q_max   m1    m2    m3    a1    e1    e2    i2    Om2   q0    +q   q++   NS
  3.90  3.90 1.00  1.00  0.10  1.00  0.50  0.50  78.0   0.0  1.00  1.00  0.10  200 quiet
  4.10  4.10 1.00  1.00  0.10  1.00  0.50  0.50  78.0  18.0  1.00  1.00  0.10  200 quiet
  3.80  3.80 1.00  1.00  0.10  1.00  0.50  0.50  78.0  36.0  1.00  1.00  0.10  200 quiet
  3.90  3.90 1.00  1.00  0.10  1.00  0.50  0.50  78.0  54.0  1.00  1.00  0.10  200 quiet
  3.90  3.90 1.00  1.00  0.10  1.00  0.50  0.50  78.0  72.0  1.00  1.00  0.10  200 quiet
  3.70  3.70 1.00  1.00  0.10  1.00  0.50  0.50  78.0  90.0  1.00  1.00  0.10  200 quiet
  3.80  3.80 1.00  1.00  0.10  1.00  0.50  0.50  78.0 108.0  1.00  1.00  0.10  200 quiet
  3.80  3.80 1.00  1.00  0.10  1.00  0.50  0.50  78.0 126.0  1.00  1.00  0.10  200 quiet
  3.90  3.90 1.00  1.00  0.10  1.00  0.50  0.50  78.0 144.0  1.00  1.00  0.10  200 quiet
  4.00  4.00 1.00  1.00  0.10  1.00  0.50  0.50  78.0 162.0  1.00  1.00  0.10  200 quiet
  4.00  4.00 1.00  1.00  0.10  1.00  0.50  0.50  78.0 180.0  1.00  1.00  0.10  200 quiet
 Q_min Q_max   m1    m2    m3    a1    e1    e2    i2    Om2   q0    +q   q++   NS
  3.90  4.30 1.00  1.00  0.10  1.00  0.50  0.50  66.0   0.0  1.00  1.00  0.10  200 quiet
  4.00  4.00 1.00  1.00  0.10  1.00  0.50  0.50  66.0  18.0  1.00  1.00  0.10  200 quiet
  3.90  3.90 1.00  1.00  0.10  1.00  0.50  0.50  66.0  36.0  1.00  1.00  0.10  200 quiet
  3.80  3.80 1.00  1.00  0.10  1.00  0.50  0.50  66.0  54.0  1.00  1.00  0.10  200 quiet
  3.90  3.90 1.00  1.00  0.10  1.00  0.50  0.50  66.0  72.0  1.00  1.00  0.10  200 quiet
  3.80  3.80 1.00  1.00  0.10  1.00  0.50  0.50  66.0  90.0  1.00  1.00  0.10  200 quiet
  3.80  3.80 1.00  1.00  0.10  1.00  0.50  0.50  66.0 108.0  1.00  1.00  0.10  200 quiet
  3.80  3.80 1.00  1.00  0.10  1.00  0.50  0.50  66.0 126.0  1.00  1.00  0.10  200 quiet
  3.90  3.90 1.00  1.00  0.10  1.00  0.50  0.50  66.0 144.0  1.00  1.00  0.10  200 quiet
  4.00  4.00 1.00  1.00  0.10  1.00  0.50  0.50  66.0 162.0  1.00  1.00  0.10  200 quiet
  3.90  4.30 1.00  1.00  0.10  1.00  0.50  0.50  66.0 180.0  1.00  1.00  0.10  200 quiet
