 Q_min Q_max   m1    m2    m3    a1    e1    e2    i2    Om2   q0    +q   q++   NS
  3.20  3.20 1.50  0.50  0.50  1.00  0.60  0.50 178.5 155.0  1.00  1.00  0.10  200 quiet
  2.70  3.40 1.50  0.50  0.50  1.00  0.60  0.50 178.5 160.0  1.00  1.00  0.10  200 quiet
  3.20  3.20 1.50  0.50  0.50  1.00  0.60  0.50 178.5 165.0  1.00  1.00  0.10  200 quiet
  3.00  3.20 1.50  0.50  0.50  1.00  0.60  0.50 178.5 170.0  1.00  1.00  0.10  200 quiet
  3.30  3.30 1.50  0.50  0.50  1.00  0.60  0.50 178.5 175.0  1.00  1.00  0.10  200 quiet
  3.20  3.50 1.50  0.50  0.50  1.00  0.60  0.50 178.5 180.0  1.00  1.00  0.10  200 quiet
 Q_min Q_max   m1    m2    m3    a1    e1    e2    i2    Om2   q0    +q   q++   NS
  2.60  2.60 1.50  0.50  0.50  1.00  0.60  0.50 178.0   0.0  1.00  1.00  0.10  200 quiet
  2.60  2.80 1.50  0.50  0.50  1.00  0.60  0.50 178.0   5.0  1.00  1.00  0.10  200 quiet
  2.70  2.70 1.50  0.50  0.50  1.00  0.60  0.50 178.0  10.0  1.00  1.00  0.10  200 quiet
  2.80  2.80 1.50  0.50  0.50  1.00  0.60  0.50 178.0  15.0  1.00  1.00  0.10  200 quiet
  2.70  2.70 1.50  0.50  0.50  1.00  0.60  0.50 178.0  20.0  1.00  1.00  0.10  200 quiet
  2.60  2.60 1.50  0.50  0.50  1.00  0.60  0.50 178.0  25.0  1.00  1.00  0.10  200 quiet
  2.50  2.80 1.50  0.50  0.50  1.00  0.60  0.50 178.0  30.0  1.00  1.00  0.10  200 quiet
  2.70  2.70 1.50  0.50  0.50  1.00  0.60  0.50 178.0  35.0  1.00  1.00  0.10  200 quiet
  2.70  2.70 1.50  0.50  0.50  1.00  0.60  0.50 178.0  40.0  1.00  1.00  0.10  200 quiet
  2.70  2.70 1.50  0.50  0.50  1.00  0.60  0.50 178.0  45.0  1.00  1.00  0.10  200 quiet
  2.80  2.80 1.50  0.50  0.50  1.00  0.60  0.50 178.0  50.0  1.00  1.00  0.10  200 quiet
  2.70  2.70 1.50  0.50  0.50  1.00  0.60  0.50 178.0  55.0  1.00  1.00  0.10  200 quiet
  2.80  2.80 1.50  0.50  0.50  1.00  0.60  0.50 178.0  60.0  1.00  1.00  0.10  200 quiet
  2.70  2.70 1.50  0.50  0.50  1.00  0.60  0.50 178.0  65.0  1.00  1.00  0.10  200 quiet
  2.50  2.80 1.50  0.50  0.50  1.00  0.60  0.50 178.0  70.0  1.00  1.00  0.10  200 quiet
